Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2023-11-01 00:00:00,12,20.0,1.0,25.0,1.0,-9999.0,1.0,9.6648,1.0,35.4725,1.0,45.1374,1.0,-9999.0,1.0,-9999.0,1.0,0.666107,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2023-11-01 01:00:00,12,18.0,1.0,27.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,0.767467,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2023-11-01 02:00:00,12,18.0,1.0,22.0,1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,1.0725,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2023-11-01 03:00:00,12,17.0,1.0,25.0,1.0,-9999.0,1.0,5.7474,1.0,32.6705,2.1,38.4179,1.0,-9999.0,1.0,-9999.0,1.0,1.49078,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2023-11-01 04:00:00,12,21.0,1.0,30.0,1.0,-9999.0,1.0,30.2907,1.0,35.6909,2.1,65.9817,1.0,-9999.0,1.0,-9999.0,1.0,4.5266,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2023-11-01 05:00:00,12,17.0,1.0,27.0,1.0,-9999.0,1.0,35.4127,1.0,35.7581,1.0,71.1708,1.0,-9999.0,1.0,-9999.0,1.0,5.26403,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2023-11-01 06:00:00,12,21.0,1.0,32.0,1.0,-9999.0,1.0,48.6538,1.0,37.2863,1.0,85.9401,1.0,-9999.0,1.0,-9999.0,1.0,3.48493,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2023-11-01 07:00:00,12,33.0,1.0,50.0,1.0,-9999.0,1.0,111.529,1.0,41.9536,1.0,153.482,1.0,-9999.0,1.0,-9999.0,1.0,3.59133,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2023-11-01 08:00:00,12,44.0,1.0,74.0,1.0,-9999.0,1.0,106.301,1.0,51.5723,1.0,157.874,1.0,-9999.0,1.0,-9999.0,1.0,3.98862,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2023-11-01 09:00:00,12,49.0,2.2,88.0,1.0,-9999.0,1.0,115.984,1.0,57.7051,1.0,173.689,2.3,-9999.0,1.0,-9999.0,1.0,4.61097,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2023-11-01 10:00:00,12,50.0,2.2,78.0,1.0,-9999.0,1.0,58.4461,1.0,60.3396,2.2,118.786,2.3,-9999.0,1.0,-9999.0,1.0,4.38842,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2023-11-01 11:00:00,12,33.0,1.0,46.0,1.0,-9999.0,1.0,20.1751,1.0,38.2469,1.0,58.422,1.0,-9999.0,1.0,-9999.0,1.0,3.56808,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2023-11-01 12:00:00,12,17.0,1.0,39.0,1.0,-9999.0,1.0,13.6732,1.0,33.4329,1.0,47.1061,1.0,-9999.0,1.0,-9999.0,1.0,2.052,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
