fecha_hora,mean,median,min,max
2018-01-01 00:00:00,88.24833333333336,88.75,84.6,89.4
2018-01-01 01:00:00,85.50000000000003,85.3,83.4,87.5
2018-01-01 02:00:00,86.63333333333331,86.65,84.7,88.5
2018-01-01 03:00:00,83.17833333333333,83.9,78.5,85.5
2018-01-01 04:00:00,82.19666666666667,82.3,80.0,85.4
2018-01-01 05:00:00,86.67833333333333,87.0,85.2,88.5
2018-01-01 06:00:00,85.08166666666664,85.95,79.4,88.4
2018-01-01 07:00:00,74.53666666666665,74.05,70.2,79.7
2018-01-01 08:00:00,63.48666666666665,62.35,60.1,69.5
2018-01-01 09:00:00,57.27666666666668,57.4,54.5,60.1
2018-01-01 10:00:00,62.850000000000016,63.150000000000006,59.1,64.8
2018-01-01 11:00:00,60.58166666666668,60.55,53.5,64.8
2018-01-01 12:00:00,51.62499999999999,50.95,46.9,57.4
2018-01-01 13:00:00,49.17,49.0,46.5,51.9
2018-01-01 14:00:00,55.11166666666667,53.25,48.5,61.9
2018-01-01 15:00:00,61.05333333333335,60.849999999999994,50.7,70.1
2018-01-01 16:00:00,73.35833333333335,72.1,68.4,79.7
2018-01-01 17:00:00,80.16500000000002,80.1,77.8,83.5
2018-01-01 18:00:00,86.01666666666667,87.15,81.2,89.2
2018-01-01 19:00:00,87.89166666666665,88.1,85.7,89.6
2018-01-01 20:00:00,85.34333333333332,86.3,79.1,88.9
2018-01-01 21:00:00,83.95999999999997,85.05000000000001,78.4,87.2
2018-01-01 22:00:00,76.54833333333335,75.8,74.5,80.6
2018-01-01 23:00:00,86.31833333333336,86.5,81.3,89.3
2018-01-02 00:00:00,85.79999999999998,85.85,81.9,89.5
2018-01-02 01:00:00,89.77333333333337,90.0,87.0,91.1
2018-01-02 02:00:00,89.73999999999998,89.9,88.3,90.8
2018-01-02 03:00:00,83.70833333333333,82.65,79.1,90.0
2018-01-02 04:00:00,85.00333333333334,86.65,79.5,88.9
2018-01-02 05:00:00,86.85166666666665,86.9,85.1,88.2
2018-01-02 06:00:00,87.17833333333334,86.7,84.3,89.7
2018-01-02 07:00:00,81.98666666666666,82.8,77.1,85.1
2018-01-02 08:00:00,76.03999999999999,76.35,71.1,80.7
2018-01-02 09:00:00,65.80499999999999,66.3,60.5,72.2
2018-01-02 10:00:00,69.78166666666667,69.9,66.3,72.5
2018-01-02 11:00:00,64.58666666666669,63.45,58.9,71.5
2018-01-02 12:00:00,64.1083333333333,64.5,61.4,66.3
2018-01-02 13:00:00,59.25833333333334,58.85,55.4,63.5
2018-01-02 14:00:00,62.17333333333331,61.75,57.6,70.7
2018-01-02 15:00:00,83.11999999999999,85.7,70.2,89.5
2018-01-02 16:00:00,88.62000000000002,88.95,84.8,90.0
2018-01-02 17:00:00,88.82666666666665,88.80000000000001,86.0,90.6
2018-01-02 18:00:00,91.03137254901962,90.9,90.5,91.8
2018-01-02 19:00:00,91.07999999999996,91.1,90.4,91.4
2018-01-02 20:00:00,91.45333333333336,91.55,90.5,92.1
2018-01-02 21:00:00,91.37500000000006,91.4,90.8,91.9
2018-01-02 22:00:00,91.84666666666668,91.9,91.6,92.1
2018-01-02 23:00:00,91.52333333333334,91.7,89.8,92.0
2018-01-03 00:00:00,90.99666666666664,91.15,90.0,91.5
2018-01-03 01:00:00,91.54166666666667,91.55,90.8,92.0
2018-01-03 02:00:00,91.76166666666668,91.7,91.5,92.1
2018-01-03 03:00:00,91.7283333333333,91.8,91.3,92.2
2018-01-03 04:00:00,92.30499999999994,92.4,91.9,92.4
2018-01-03 05:00:00,92.5,92.5,92.4,92.6
2018-01-03 06:00:00,91.275,91.2,91.0,91.7
2018-01-03 07:00:00,,,,
2018-01-03 08:00:00,72.32407407407408,73.2,65.5,77.6
2018-01-03 09:00:00,63.68999999999999,63.7,61.6,65.7
2018-01-03 10:00:00,55.79833333333333,55.5,48.3,61.8
2018-01-03 11:00:00,47.00666666666667,47.3,42.8,49.9
2018-01-03 12:00:00,43.53499999999998,43.2,37.9,51.6
2018-01-03 13:00:00,51.66333333333333,49.7,43.9,63.1
2018-01-03 14:00:00,76.615,79.1,62.6,85.3
2018-01-03 15:00:00,77.84166666666667,79.9,65.0,85.3
2018-01-03 16:00:00,78.7,78.75,73.4,82.6
2018-01-03 17:00:00,81.99666666666668,82.0,79.4,85.3
2018-01-03 18:00:00,82.65666666666665,82.75,79.5,85.6
2018-01-03 19:00:00,82.78666666666666,84.30000000000001,76.4,86.4
2018-01-03 20:00:00,85.66500000000002,85.6,83.6,87.5
2018-01-03 21:00:00,87.47,87.85,84.4,90.4
2018-01-03 22:00:00,88.33333333333333,88.3,85.3,90.7
2018-01-03 23:00:00,88.75,88.9,84.7,90.5
2018-01-04 00:00:00,88.65166666666667,88.6,86.2,90.5
2018-01-04 01:00:00,86.74833333333332,87.8,78.8,89.0
2018-01-04 02:00:00,85.215,87.05,76.4,89.6
2018-01-04 03:00:00,87.71666666666667,88.4,81.5,89.5
2018-01-04 04:00:00,80.66666666666661,80.85,77.1,83.1
2018-01-04 05:00:00,87.14499999999998,87.35,83.0,90.4
2018-01-04 06:00:00,89.88499999999999,90.25,86.7,92.2
2018-01-04 07:00:00,85.31999999999998,84.5,77.7,90.0
2018-01-04 08:00:00,69.12333333333332,68.5,60.6,79.0
2018-01-04 09:00:00,56.753333333333316,56.55,52.4,62.8
2018-01-04 10:00:00,51.72666666666668,51.9,48.8,54.6
2018-01-04 11:00:00,58.67666666666669,59.45,51.9,62.9
2018-01-04 12:00:00,57.95833333333334,58.150000000000006,55.1,59.9
2018-01-04 13:00:00,56.10333333333336,56.1,52.2,58.6
2018-01-04 14:00:00,55.731666666666676,55.4,53.9,57.7
2018-01-04 15:00:00,58.443333333333335,58.5,56.9,59.9
2018-01-04 16:00:00,61.58833333333333,61.0,58.6,65.7
2018-01-04 17:00:00,68.86166666666665,69.1,65.7,70.5
2018-01-04 18:00:00,74.01833333333333,73.69999999999999,70.1,78.4
2018-01-04 19:00:00,80.63000000000001,80.85,78.5,82.4
2018-01-04 20:00:00,82.14,82.1,81.5,82.9
2018-01-04 21:00:00,83.93833333333335,83.9,83.0,85.4
2018-01-04 22:00:00,86.84333333333332,87.25,82.6,89.7
2018-01-04 23:00:00,87.46499999999999,87.55,85.4,89.4
2018-01-05 00:00:00,88.94499999999998,89.15,86.2,90.5
2018-01-05 01:00:00,89.69499999999998,89.75,87.9,90.7
2018-01-05 02:00:00,89.19333333333334,89.6,87.1,90.4
2018-01-05 03:00:00,88.93333333333334,89.0,88.0,90.2
2018-01-05 04:00:00,90.32999999999998,90.5,89.2,91.1
2018-01-05 05:00:00,89.99833333333336,90.0,89.5,90.5
2018-01-05 06:00:00,90.39666666666669,90.6,88.9,91.6
2018-01-05 07:00:00,89.77,89.8,88.2,91.4
2018-01-05 08:00:00,84.14166666666665,85.4,78.1,88.1
2018-01-05 09:00:00,73.17833333333333,72.95,67.6,80.2
2018-01-05 10:00:00,62.32833333333331,62.0,57.3,69.8
2018-01-05 11:00:00,60.51666666666666,60.6,56.8,63.0
2018-01-05 12:00:00,57.138333333333335,57.0,51.8,62.1
2018-01-05 13:00:00,69.915,71.65,55.9,82.2
2018-01-05 14:00:00,72.13500000000002,73.25,60.6,80.5
2018-01-05 15:00:00,74.02000000000002,76.3,64.6,79.6
2018-01-05 16:00:00,71.09166666666668,70.75,68.3,76.6
2018-01-05 17:00:00,76.72166666666668,77.1,73.1,81.1
2018-01-05 18:00:00,82.64000000000001,82.5,81.0,84.6
2018-01-05 19:00:00,85.08166666666669,84.45,83.3,87.5
2018-01-05 20:00:00,87.1666666666667,87.2,86.6,87.6
2018-01-05 21:00:00,88.33166666666666,88.4,86.9,89.3
2018-01-05 22:00:00,89.52166666666668,89.5,88.7,90.8
2018-01-05 23:00:00,90.42499999999998,90.6,89.4,91.2
2018-01-06 00:00:00,90.35,90.4,89.9,90.9
2018-01-06 01:00:00,90.49333333333333,90.7,89.2,91.7
2018-01-06 02:00:00,88.84833333333336,89.3,86.2,90.1
2018-01-06 03:00:00,88.89333333333335,88.95,85.1,91.1
2018-01-06 04:00:00,86.59,87.30000000000001,81.8,89.6
