,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2018-04-01 00:00:00,12,16.0,1.0,16.0,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,38.6424,1.0,92.5412,1.0,641.049,3.1,0.0,1.0,0.0,1.0,17.4716,1.0,0.108297,1.0
2018-04-01 01:00:00,12,21.0,1.0,21.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,350.055,1.0,89.6418,1.0,640.702,3.1,0.0,1.0,0.0,1.0,17.7803,1.0,0.0378979,1.0
2018-04-01 02:00:00,12,18.0,1.0,23.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,10.5984,1.0,88.8311,1.0,640.483,3.1,0.2,1.0,0.0,1.0,17.7675,1.0,0.112706,1.0
2018-04-01 03:00:00,12,25.0,2.6,22.0,2.6,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,19.2301,1.0,90.2942,1.0,640.224,3.1,1.0,1.0,0.0,1.0,17.5569,1.0,0.304429,1.0
2018-04-01 04:00:00,12,19.0,2.6,18.0,2.6,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,6.62645,1.0,90.8021,1.0,639.912,3.1,0.1,1.0,0.0,1.0,17.4526,1.0,0.258216,1.0
2018-04-01 05:00:00,12,20.0,2.6,14.0,2.6,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,10.6671,1.0,90.7161,1.0,639.681,3.1,0.0,1.0,0.0,1.0,17.2828,1.0,0.201384,1.0
2018-04-01 06:00:00,12,27.0,2.6,24.0,2.6,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,14.5559,1.0,89.53,1.0,639.894,3.1,0.0,1.0,0.0,1.0,17.2921,1.0,0.174884,1.0
2018-04-01 07:00:00,12,24.0,1.0,30.0,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,9.51042,1.0,88.8962,1.0,640.33,3.1,0.0,1.0,24.1833,1.0,17.4927,1.0,0.0557213,1.0
2018-04-01 08:00:00,12,32.0,1.0,36.0,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,17.9543,1.0,85.9132,1.0,640.982,3.1,0.0,1.0,111.786,1.0,18.0422,1.0,0.51618,1.0
2018-04-01 09:00:00,12,21.0,1.0,29.0,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,1.45369,1.0,72.6724,1.0,641.272,3.1,0.0,1.0,362.489,1.0,19.8836,1.0,0.333214,1.0
2018-04-01 10:00:00,12,27.0,1.0,29.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,202.506,1.0,60.6601,1.0,641.127,3.1,0.0,1.0,412.276,1.0,21.4911,1.0,0.264744,1.0
2018-04-01 11:00:00,12,30.0,1.0,42.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,291.29,1.0,55.1304,1.0,640.679,3.1,0.0,1.0,591.016,1.0,22.8594,1.0,0.401554,1.0
2018-04-01 12:00:00,12,39.0,1.0,46.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,53.3582,1.0,46.6371,1.0,639.917,3.1,0.0,1.0,834.057,1.0,24.4284,1.0,0.500458,1.0
2018-04-01 13:00:00,12,40.0,2.6,29.0,2.6,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,23.5424,1.0,38.3543,1.0,638.931,3.1,0.0,1.0,864.928,1.0,26.2415,1.0,0.415632,1.0
2018-04-01 14:00:00,12,27.0,1.0,27.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,342.54,1.0,36.2202,1.0,638.069,3.1,0.0,1.0,624.848,1.0,27.1559,1.0,0.648494,1.0
2018-04-01 15:00:00,12,17.0,1.0,27.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,29.9972,1.0,38.458,1.0,637.34,3.1,0.0,1.0,380.287,1.0,27.1716,1.0,0.95146,1.0
2018-04-01 16:00:00,12,14.0,1.0,20.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,149.901,1.0,78.5692,1.0,637.89,3.1,0.0,1.0,3.22389,1.0,19.3835,1.0,1.00111,1.0
2018-04-01 17:00:00,12,9.0,1.0,17.0,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,291.286,1.0,95.6133,1.0,638.458,3.1,0.0,1.0,47.6553,1.0,16.431,1.0,0.121321,1.0
2018-04-01 18:00:00,12,11.0,1.0,15.0,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,287.395,1.0,96.3658,1.0,638.695,3.1,0.0,1.0,52.9664,1.0,17.6507,1.0,0.394337,1.0
2018-04-01 19:00:00,12,20.0,1.0,32.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,312.766,1.0,93.671,1.0,639.112,3.1,0.0,1.0,0.234167,1.0,18.4584,1.0,0.826472,1.0
