Fecha_Hora;BEL-USBV__DViento_SSR;BEL-USBV__P_SSR;BEL-USBV__RGlobal_SSR;BEL-USBV__TAire10_SSR;BEL-USBV__VViento_SSR;ITA-CJUS__DViento_SSR;ITA-CJUS__HAire10_SSR;ITA-CJUS__P_SSR;ITA-CJUS__RGlobal_SSR;ITA-CJUS__TAire10_SSR;ITA-CJUS__VViento_SSR
2019-01-01 00:00:00;238.021;638.151;0.0;16.9139;1.70541;182.248;56.9499;634.559;0.0;19.5628;0.373759
2019-01-01 01:00:00;228.52;637.776;0.0;15.9597;1.54506;170.824;59.6667;634.183;0.0;19.0364;0.380545
2019-01-01 02:00:00;228.798;637.315;0.0;15.3926;1.67008;180.863;63.7678;633.785;0.0;18.2107;0.209423
2019-01-01 03:00:00;229.85;636.847;0.0;14.8924;1.56168;194.199;66.2271;633.444;0.0;17.5893;0.344507
2019-01-01 04:00:00;229.38;636.912;0.0;14.6778;1.69733;223.2;70.3917;633.41;0.0;16.7994;0.270756
2019-01-01 05:00:00;238.406;637.302;0.0;14.8968;1.36925;218.781;72.6129;633.827;0.0;16.3224;0.330051
2019-01-01 06:00:00;231.056;637.719;0.0;14.1754;1.63001;230.601;73.8829;634.198;0.0;15.851;0.286483
2019-01-01 07:00:00;234.796;638.098;15.1417;14.1967;1.51779;228.795;74.1154;634.644;9.79722;15.6606;0.216036
2019-01-01 08:00:00;73.2502;638.326;186.319;19.1019;0.224828;140.701;59.8654;634.88;134.503;19.6233;0.27781
2019-01-01 09:00:00;69.1353;638.245;368.875;21.9436;0.977308;107.448;48.5833;634.836;289.017;22.2135;0.23756
2019-01-01 10:00:00;202.667;637.883;531.908;24.8275;0.102193;66.3287;39.1536;634.396;435.35;24.5446;0.420729
2019-01-01 11:00:00;312.579;637.331;653.57;27.7201;0.398372;18.8356;33.2678;633.828;554.722;26.1429;1.38936
2019-01-01 12:00:00;46.0772;636.381;716.519;29.5979;1.96842;322.98;25.6024;632.797;621.219;28.661;1.38347
2019-01-01 13:00:00;62.9786;635.553;716.297;30.3;3.20275;83.7073;18.6254;632.029;632.908;31.3475;1.01558
2019-01-01 14:00:00;62.4032;634.987;668.867;30.8383;3.22358;83.2809;17.5493;631.369;591.3;31.4086;2.13662
2019-01-01 15:00:00;50.5154;634.604;447.322;30.5217;3.3137;85.1218;18.9167;631.084;432.3;31.2949;2.18
2019-01-01 16:00:00;60.505;634.471;391.433;30.7928;2.49469;126.013;19.8536;631.028;219.411;30.8544;2.00499
2019-01-01 17:00:00;52.8794;634.651;155.928;29.8625;2.73817;123.847;21.1928;631.116;78.225;30.0;1.10534
2019-01-01 18:00:00;51.0307;635.226;8.06944;27.072;2.5437;9.0133;23.9965;631.513;17.9555;28.9911;0.390408
2019-01-01 19:00:00;68.3534;636.007;0.0972222;24.579;2.79337;321.82;35.5578;632.16;0.0;26.3363;1.71655
2019-01-01 20:00:00;61.7475;636.832;0.0;23.018;2.61065;322.777;49.1094;633.056;0.0;24.2696;2.56041
2019-01-01 21:00:00;64.1565;637.559;0.0;21.9158;1.95205;335.79;53.289;633.843;0.0;23.1715;1.79885
