horizon_h,n_eval,rmse,r2,split,baseline
1,283057,8.718096398452106,0.2246303278149453,test,climatology_hourly_station
2,281336,8.727971249722351,0.22584932786634648,test,climatology_hourly_station
3,280330,8.729216090800854,0.22702950347859863,test,climatology_hourly_station
4,279751,8.72917270549839,0.2277578599145379,test,climatology_hourly_station
5,279428,8.724229120068154,0.22884417327476325,test,climatology_hourly_station
6,279250,8.718070881750943,0.22926097931434664,test,climatology_hourly_station
7,279064,8.721321140528916,0.2294299100032584,test,climatology_hourly_station
8,278955,8.714378732322078,0.230417369616578,test,climatology_hourly_station
9,278905,8.715946479999895,0.23025941457370835,test,climatology_hourly_station
10,278859,8.72281104506126,0.2301969630402434,test,climatology_hourly_station
11,278819,8.729025300399572,0.22954490472163191,test,climatology_hourly_station
12,278851,8.727514550397528,0.22885317588779697,test,climatology_hourly_station
13,278807,8.723351478941494,0.22876417188768994,test,climatology_hourly_station
14,278831,8.718670063529645,0.228569874770021,test,climatology_hourly_station
15,278891,8.714686027549448,0.22740673435592806,test,climatology_hourly_station
16,278935,8.70729692329153,0.22674357225561925,test,climatology_hourly_station
17,279020,8.7024958620168,0.2262451863043463,test,climatology_hourly_station
18,279199,8.698944204793179,0.2266120948261905,test,climatology_hourly_station
19,279376,8.702623521476388,0.22654885173898287,test,climatology_hourly_station
20,279703,8.70737029017862,0.22622670005988788,test,climatology_hourly_station
21,280284,8.70940951032604,0.2256625840106684,test,climatology_hourly_station
22,281305,8.714979714470717,0.22490540642936396,test,climatology_hourly_station
23,283050,8.712569520210693,0.22449921291482244,test,climatology_hourly_station
24,288083,8.720815981288723,0.22528995931438078,test,climatology_hourly_station
1,131677,9.769557748705147,0.20642812167582258,val,climatology_hourly_station
2,130778,9.786799630025543,0.20870220287547192,val,climatology_hourly_station
3,130251,9.792477878781536,0.21021111783754032,val,climatology_hourly_station
4,129943,9.792127652213344,0.21172319207087253,val,climatology_hourly_station
5,129768,9.790577746681505,0.2124788526200897,val,climatology_hourly_station
6,129638,9.786888267679654,0.21324831934106103,val,climatology_hourly_station
7,129500,9.781174509426293,0.2139238417129129,val,climatology_hourly_station
8,129471,9.787361877162882,0.21378387383998132,val,climatology_hourly_station
9,129461,9.785734754497536,0.21283036978541314,val,climatology_hourly_station
10,129379,9.786984536870358,0.2123242540125797,val,climatology_hourly_station
11,129373,9.773856138032375,0.21311810930634856,val,climatology_hourly_station
12,129354,9.782016778081058,0.21245264966340627,val,climatology_hourly_station
13,129370,9.784900873832003,0.2119736256099698,val,climatology_hourly_station
14,129378,9.763906903672199,0.21052626500391824,val,climatology_hourly_station
15,129453,9.763301603982887,0.20835653315927172,val,climatology_hourly_station
16,129466,9.758557197272214,0.20719682509486592,val,climatology_hourly_station
17,129476,9.7613745991425,0.20771491010950704,val,climatology_hourly_station
18,129609,9.759167431801398,0.2084700341315936,val,climatology_hourly_station
19,129722,9.756166584277773,0.20902985735878,val,climatology_hourly_station
20,129898,9.749771126781795,0.20950147873046865,val,climatology_hourly_station
21,130210,9.760138260547494,0.20747699011355147,val,climatology_hourly_station
22,130732,9.757623506977307,0.207075010363569,val,climatology_hourly_station
23,131647,9.755988492803024,0.20712289399479955,val,climatology_hourly_station
24,135040,9.760092654870393,0.21080335203016898,val,climatology_hourly_station
