feature,coverage_non_na
wind_dir,0.05573259024745769
r_global,0.05574408600667213
rh_10m,0.055826855473016024
tair_10m,0.055826855473016024
press,0.055826855473016024
wind_speed,0.055826855473016024
o3_lag24,0.09951189006375549
o3_lag1,0.09993378442692491
o3_roll_mean24,0.10115233490365405
pm10_lag24,0.10382624849692945
pm10_lag1,0.10493329010927865
pm10_roll_mean24,0.11005235168746252
pm25_lag168,0.9581531373076472
pm25_lag72,0.9613018257564785
pm25_lag48,0.9647091687876342
pm25_lag24,0.9688372959215346
pm25_lag12,0.9689258132674856
pm25_lag6,0.9717928556155634
pm25_lag3,0.9754703489882582
pm25_lag2,0.9785891484631319
pm25_lag1,0.9840887196713133
pm25_roll_mean72,0.9964662036174855
pm25_roll_std72,0.9964662036174855
pm25_roll_mean24,0.9977709722883228
pm25_roll_std24,0.9977709722883228
pm25_roll_mean168,0.9985078504539675
pm25_roll_std168,0.9985078504539675
nbr_pm25_mean_lag24,0.9992136900697333
nbr_pm25_mean_lag1,0.9997827301508474
has_pm10,1.0
has_o3,1.0
