horizon_h,n_eval,rmse,r2,split,baseline
1,283057,10.362081436905404,-0.09536656060494964,test,seasonal_naive_24h
2,281336,10.346601468204092,-0.08791339378616025,test,seasonal_naive_24h
3,280330,10.330965716687443,-0.08266542873131355,test,seasonal_naive_24h
4,279751,10.318528252077659,-0.07905315740593366,test,seasonal_naive_24h
5,279428,10.305902800601837,-0.07611851392002111,test,seasonal_naive_24h
6,279250,10.287986347804983,-0.0733152845548466,test,seasonal_naive_24h
7,279064,10.281622246497967,-0.07095414891832408,test,seasonal_naive_24h
8,278955,10.26186763394029,-0.06717394281005773,test,seasonal_naive_24h
9,278905,10.252398484655167,-0.06504076691403715,test,seasonal_naive_24h
10,278859,10.241861847373547,-0.061266650642766374,test,seasonal_naive_24h
11,278819,10.236523281922183,-0.05954836138720898,test,seasonal_naive_24h
12,278851,10.221584565737338,-0.05777272226725061,test,seasonal_naive_24h
13,278807,10.198814708224411,-0.05419234268201123,test,seasonal_naive_24h
14,278831,10.172408209713721,-0.05013145584638634,test,seasonal_naive_24h
15,278891,10.142842106657767,-0.04656632886167178,test,seasonal_naive_24h
16,278935,10.118644517383883,-0.04424284351058527,test,seasonal_naive_24h
17,279020,10.082120851885568,-0.038531110257499224,test,seasonal_naive_24h
18,279199,10.050484476532834,-0.03237690296062268,test,seasonal_naive_24h
19,279376,10.018032237618222,-0.024937412043833262,test,seasonal_naive_24h
20,279703,9.991018074131153,-0.018730248617405687,test,seasonal_naive_24h
21,280284,9.970080565931434,-0.014729200042589818,test,seasonal_naive_24h
22,281305,9.955509474503772,-0.011460498465941438,test,seasonal_naive_24h
23,283050,9.934086811839254,-0.008197536046140375,test,seasonal_naive_24h
24,288083,9.925012603973984,-0.0034299825166219655,test,seasonal_naive_24h
1,131677,10.557529948045188,0.07325317954021726,val,seasonal_naive_24h
2,130778,10.53574916664497,0.08295761716171723,val,seasonal_naive_24h
3,130251,10.51808578374989,0.08883037271227967,val,seasonal_naive_24h
4,129943,10.490452531348657,0.09528235122346851,val,seasonal_naive_24h
5,129768,10.461293958495737,0.10088261446272306,val,seasonal_naive_24h
6,129638,10.436032617272554,0.10541981459120242,val,seasonal_naive_24h
7,129500,10.412016816897776,0.10925717794727074,val,seasonal_naive_24h
8,129471,10.396851956102289,0.11281462292404487,val,seasonal_naive_24h
9,129461,10.372993677422283,0.11551661966810856,val,seasonal_naive_24h
10,129379,10.35357246678719,0.118484153506078,val,seasonal_naive_24h
11,129373,10.325542251888452,0.12177984025086885,val,seasonal_naive_24h
12,129354,10.317682276155491,0.12383849529352509,val,seasonal_naive_24h
13,129370,10.292027045561092,0.12817417406007514,val,seasonal_naive_24h
14,129378,10.22453013619794,0.13428060966026267,val,seasonal_naive_24h
15,129453,10.178570950103035,0.13958130634201515,val,seasonal_naive_24h
16,129466,10.132108227634545,0.145339176409651,val,seasonal_naive_24h
17,129476,10.08398994286809,0.15447912984395162,val,seasonal_naive_24h
18,129609,10.034173204114097,0.16323210336567506,val,seasonal_naive_24h
19,129722,9.985585105224969,0.1713927847890655,val,seasonal_naive_24h
20,129898,9.937076265898153,0.17883682335608275,val,seasonal_naive_24h
21,130210,9.906469991578112,0.18353457713396581,val,seasonal_naive_24h
22,130732,9.872931942052393,0.18822386868944851,val,seasonal_naive_24h
23,131647,9.845067827279747,0.1925776919134503,val,seasonal_naive_24h
24,135040,9.851517824248807,0.19594890863106929,val,seasonal_naive_24h
